    Enumerated=30, Top MIS size=575, K=30
    Enumerated=30, Top MIS size=519, K=30
    Enumerated=30, Top MIS size=522, K=30
    Enumerated=30, Top MIS size=532, K=30
    Enumerated=30, Top MIS size=499, K=30
    Enumerated=30, Top MIS size=543, K=30
    Enumerated=30, Top MIS size=611, K=30
    Enumerated=30, Top MIS size=548, K=30
    Enumerated=30, Top MIS size=604, K=30
    Enumerated=30, Top MIS size=504, K=30
    Enumerated=30, Top MIS size=1588, K=30
    Enumerated=30, Top MIS size=1638, K=30
    Enumerated=30, Top MIS size=1605, K=30
    Enumerated=30, Top MIS size=1591, K=30
    Enumerated=30, Top MIS size=1699, K=30
    Enumerated=30, Top MIS size=1695, K=30
    Enumerated=30, Top MIS size=1571, K=30
    Enumerated=30, Top MIS size=1615, K=30
    Enumerated=30, Top MIS size=1651, K=30
    Enumerated=30, Top MIS size=1526, K=30
    Enumerated=30, Top MIS size=2799, K=30
    Enumerated=30, Top MIS size=2727, K=30
    Enumerated=30, Top MIS size=2649, K=30
    Enumerated=30, Top MIS size=2721, K=30
    Enumerated=30, Top MIS size=2626, K=30
    Enumerated=30, Top MIS size=2715, K=30
    Enumerated=30, Top MIS size=2665, K=30
    Enumerated=30, Top MIS size=2731, K=30
    Enumerated=30, Top MIS size=2663, K=30
    Enumerated=30, Top MIS size=285, K=30
    Enumerated=30, Top MIS size=281, K=30
    Enumerated=30, Top MIS size=281, K=30
    Enumerated=30, Top MIS size=238, K=30
    Enumerated=30, Top MIS size=288, K=30
    Enumerated=30, Top MIS size=313, K=30
    Enumerated=30, Top MIS size=287, K=30
    Enumerated=30, Top MIS size=263, K=30
    Enumerated=30, Top MIS size=237, K=30
    Enumerated=30, Top MIS size=265, K=30
