Found 5 files to process.
[INFO] pseudo_l=1, pseudo_use_abs=True
Processing: datasets/signed/n1000_m1_signed_tries10.txt
  Instance 1: verts=2088, edges=324049, greedy_size=327, pseudo_l=1, valid=True
  Instance 2: verts=2019, edges=346213, greedy_size=309, pseudo_l=1, valid=True
  Instance 3: verts=1964, edges=289863, greedy_size=300, pseudo_l=1, valid=True
  Instance 4: verts=1970, edges=315351, greedy_size=308, pseudo_l=1, valid=True
  Instance 5: verts=1867, edges=311978, greedy_size=290, pseudo_l=1, valid=True
  Instance 6: verts=2058, edges=347933, greedy_size=308, pseudo_l=1, valid=True
  Instance 7: verts=2171, edges=333389, greedy_size=345, pseudo_l=1, valid=True
  Instance 8: verts=2147, edges=391643, greedy_size=311, pseudo_l=1, valid=True
  Instance 9: verts=2168, edges=357870, greedy_size=341, pseudo_l=1, valid=True
  Instance 10: verts=1975, edges=326883, greedy_size=292, pseudo_l=1, valid=True
Processing: datasets/signed/n3000_m1_signed_tries10.txt
  Instance 1: verts=5992, edges=3047391, greedy_size=915, pseudo_l=1, valid=True
  Instance 2: verts=6119, edges=2996158, greedy_size=938, pseudo_l=1, valid=True
  Instance 3: verts=6181, edges=3263225, greedy_size=941, pseudo_l=1, valid=True
  Instance 4: verts=5909, edges=2958237, greedy_size=929, pseudo_l=1, valid=True
  Instance 5: verts=6205, edges=2999448, greedy_size=952, pseudo_l=1, valid=True
  Instance 6: verts=6519, edges=3775230, greedy_size=975, pseudo_l=1, valid=True
  Instance 7: verts=5739, edges=2723192, greedy_size=913, pseudo_l=1, valid=True
  Instance 8: verts=6156, edges=3221244, greedy_size=936, pseudo_l=1, valid=True
  Instance 9: verts=6105, edges=3174792, greedy_size=946, pseudo_l=1, valid=True
  Instance 10: verts=5864, edges=3124007, greedy_size=888, pseudo_l=1, valid=True
Processing: datasets/signed/n5000_m1_signed_tries10.txt
  Instance 1: verts=10440, edges=8936202, greedy_size=1605, pseudo_l=1, valid=True
  Instance 2: verts=10175, edges=8502394, greedy_size=1575, pseudo_l=1, valid=True
  Instance 3: verts=10060, edges=8648525, greedy_size=1533, pseudo_l=1, valid=True
  Instance 4: verts=10210, edges=8356721, greedy_size=1579, pseudo_l=1, valid=True
  Instance 5: verts=10560, edges=9027966, greedy_size=1577, pseudo_l=1, valid=True
  Instance 6: verts=9981, edges=8728932, greedy_size=1518, pseudo_l=1, valid=True
  Instance 7: verts=10211, edges=8821959, greedy_size=1558, pseudo_l=1, valid=True
  Instance 8: verts=10064, edges=8231027, greedy_size=1540, pseudo_l=1, valid=True
  Instance 9: verts=10195, edges=8377748, greedy_size=1578, pseudo_l=1, valid=True
  Instance 10: verts=9940, edges=8274869, greedy_size=1540, pseudo_l=1, valid=True
Processing: datasets/signed/n500_m1_signed_tries10.txt
  Instance 1: verts=1088, edges=95111, greedy_size=158, pseudo_l=1, valid=True
  Instance 2: verts=1156, edges=112819, greedy_size=161, pseudo_l=1, valid=True
  Instance 3: verts=1073, edges=85898, greedy_size=162, pseudo_l=1, valid=True
  Instance 4: verts=897, edges=69332, greedy_size=142, pseudo_l=1, valid=True
  Instance 5: verts=1090, edges=100028, greedy_size=166, pseudo_l=1, valid=True
  Instance 6: verts=1109, edges=88592, greedy_size=171, pseudo_l=1, valid=True
  Instance 7: verts=1053, edges=93631, greedy_size=162, pseudo_l=1, valid=True
  Instance 8: verts=1030, edges=87677, greedy_size=148, pseudo_l=1, valid=True
  Instance 9: verts=912, edges=88844, greedy_size=135, pseudo_l=1, valid=True
  Instance 10: verts=1087, edges=97874, greedy_size=154, pseudo_l=1, valid=True
Processing: datasets/signed/n7000_m1_signed_tries10.txt
  Instance 1: verts=14818, edges=18336742, greedy_size=2228, pseudo_l=1, valid=True
  Instance 2: verts=13760, edges=15291398, greedy_size=2175, pseudo_l=1, valid=True
  Instance 3: verts=14407, edges=17320710, greedy_size=2181, pseudo_l=1, valid=True
  Instance 4: verts=13886, edges=16053506, greedy_size=2154, pseudo_l=1, valid=True
  Instance 5: verts=14259, edges=16154995, greedy_size=2194, pseudo_l=1, valid=True
  Instance 6: verts=14117, edges=16340914, greedy_size=2152, pseudo_l=1, valid=True
  Instance 7: verts=13933, edges=16518012, greedy_size=2157, pseudo_l=1, valid=True
  Instance 8: verts=14236, edges=17215727, greedy_size=2180, pseudo_l=1, valid=True
  Instance 9: verts=14104, edges=15475324, greedy_size=2170, pseudo_l=1, valid=True
  Instance 10: verts=13971, edges=15501279, greedy_size=2141, pseudo_l=1, valid=True
