  Instance 1: verts=2088, edges=324049, greedy_size=558
  Instance 2: verts=2019, edges=346213, greedy_size=516
  Instance 3: verts=1964, edges=289863, greedy_size=515
  Instance 4: verts=1970, edges=315351, greedy_size=526
  Instance 5: verts=1867, edges=311978, greedy_size=489
  Instance 6: verts=2058, edges=347933, greedy_size=533
  Instance 7: verts=2171, edges=333389, greedy_size=602
  Instance 8: verts=2147, edges=391643, greedy_size=541
  Instance 9: verts=2168, edges=357870, greedy_size=594
  Instance 10: verts=1975, edges=326883, greedy_size=492
  Instance 1: verts=5992, edges=3047391, greedy_size=1554
  Instance 2: verts=6119, edges=2996158, greedy_size=1614
  Instance 3: verts=6181, edges=3263225, greedy_size=1589
  Instance 4: verts=5909, edges=2958237, greedy_size=1570
  Instance 5: verts=6205, edges=2999448, greedy_size=1671
  Instance 6: verts=6519, edges=3775230, greedy_size=1657
  Instance 7: verts=5739, edges=2723192, greedy_size=1537
  Instance 8: verts=6156, edges=3221244, greedy_size=1585
  Instance 9: verts=6105, edges=3174792, greedy_size=1624
  Instance 10: verts=5864, edges=3124007, greedy_size=1504
  Instance 1: verts=10440, edges=8936202, greedy_size=2740
  Instance 2: verts=10175, edges=8502394, greedy_size=2697
  Instance 3: verts=10060, edges=8648525, greedy_size=2605
  Instance 4: verts=10210, edges=8356721, greedy_size=2676
  Instance 5: verts=10560, edges=9027966, greedy_size=2705
  Instance 6: verts=9981, edges=8728932, greedy_size=2579
  Instance 7: verts=10211, edges=8821959, greedy_size=2672
  Instance 8: verts=10064, edges=8231027, greedy_size=2629
  Instance 9: verts=10195, edges=8377748, greedy_size=2686
  Instance 10: verts=9940, edges=8274869, greedy_size=2618
  Instance 1: verts=1088, edges=95111, greedy_size=280
  Instance 2: verts=1156, edges=112819, greedy_size=278
  Instance 3: verts=1073, edges=85898, greedy_size=279
  Instance 4: verts=897, edges=69332, greedy_size=235
  Instance 5: verts=1090, edges=100028, greedy_size=282
  Instance 6: verts=1109, edges=88592, greedy_size=304
  Instance 7: verts=1053, edges=93631, greedy_size=276
  Instance 8: verts=1030, edges=87677, greedy_size=259
  Instance 9: verts=912, edges=88844, greedy_size=233
  Instance 10: verts=1087, edges=97874, greedy_size=255
