experiment,dataset,instance,pseudo_l,vertices,edges,greedy,ours,improvement,percent_improvement,enumerated,accepted,rejects,K
signed_pseudo1,n1000_m1_signed_tries10.txt,1,1,2088,324049,327,334,7,2.14,30,30,0,30
signed_pseudo1,n1000_m1_signed_tries10.txt,2,1,2019,346213,309,316,7,2.27,30,30,0,30
signed_pseudo1,n1000_m1_signed_tries10.txt,3,1,1964,289863,300,311,11,3.67,30,30,0,30
signed_pseudo1,n1000_m1_signed_tries10.txt,4,1,1970,315351,308,314,6,1.95,30,30,0,30
signed_pseudo1,n1000_m1_signed_tries10.txt,5,1,1867,311978,290,296,6,2.07,30,30,0,30
signed_pseudo1,n1000_m1_signed_tries10.txt,6,1,2058,347933,308,325,17,5.52,30,30,0,30
signed_pseudo1,n1000_m1_signed_tries10.txt,7,1,2171,333389,345,349,4,1.16,30,30,0,30
signed_pseudo1,n1000_m1_signed_tries10.txt,8,1,2147,391643,311,319,8,2.57,30,30,0,30
signed_pseudo1,n1000_m1_signed_tries10.txt,9,1,2168,357870,341,354,13,3.81,30,30,0,30
signed_pseudo1,n1000_m1_signed_tries10.txt,10,1,1975,326883,292,304,12,4.11,30,30,0,30
signed_pseudo1,n3000_m1_signed_tries10.txt,1,1,5992,3047391,915,957,42,4.59,30,30,0,30
signed_pseudo1,n3000_m1_signed_tries10.txt,2,1,6119,2996158,938,967,29,3.09,30,30,0,30
signed_pseudo1,n3000_m1_signed_tries10.txt,3,1,6181,3263225,941,958,17,1.81,30,30,0,30
signed_pseudo1,n3000_m1_signed_tries10.txt,4,1,5909,2958237,929,952,23,2.48,30,30,0,30
signed_pseudo1,n3000_m1_signed_tries10.txt,5,1,6205,2999448,952,991,39,4.1,30,30,0,30
signed_pseudo1,n3000_m1_signed_tries10.txt,6,1,6519,3775230,975,1015,40,4.1,30,30,0,30
signed_pseudo1,n3000_m1_signed_tries10.txt,7,1,5739,2723192,913,952,39,4.27,30,30,0,30
signed_pseudo1,n3000_m1_signed_tries10.txt,8,1,6156,3221244,936,962,26,2.78,30,30,0,30
signed_pseudo1,n3000_m1_signed_tries10.txt,9,1,6105,3174792,946,981,35,3.7,30,30,0,30
signed_pseudo1,n3000_m1_signed_tries10.txt,10,1,5864,3124007,888,918,30,3.38,30,30,0,30
signed_pseudo1,n5000_m1_signed_tries10.txt,1,1,10440,8936202,1605,1646,41,2.55,30,30,0,30
signed_pseudo1,n5000_m1_signed_tries10.txt,2,1,10175,8502394,1575,1618,43,2.73,30,30,0,30
signed_pseudo1,n5000_m1_signed_tries10.txt,3,1,10060,8648525,1533,1576,43,2.8,30,30,0,30
signed_pseudo1,n5000_m1_signed_tries10.txt,4,1,10210,8356721,1579,1631,52,3.29,30,30,0,30
signed_pseudo1,n5000_m1_signed_tries10.txt,5,1,10560,9027966,1577,1624,47,2.98,30,30,0,30
signed_pseudo1,n5000_m1_signed_tries10.txt,6,1,9981,8728932,1518,1552,34,2.24,30,30,0,30
signed_pseudo1,n5000_m1_signed_tries10.txt,7,1,10211,8821959,1558,1611,53,3.4,30,30,0,30
signed_pseudo1,n5000_m1_signed_tries10.txt,8,1,10064,8231027,1540,1596,56,3.64,30,30,0,30
signed_pseudo1,n5000_m1_signed_tries10.txt,9,1,10195,8377748,1578,1636,58,3.68,30,30,0,30
signed_pseudo1,n5000_m1_signed_tries10.txt,10,1,9940,8274869,1540,1577,37,2.4,30,30,0,30
signed_pseudo1,n500_m1_signed_tries10.txt,1,1,1088,95111,158,165,7,4.43,30,30,0,30
signed_pseudo1,n500_m1_signed_tries10.txt,2,1,1156,112819,161,165,4,2.48,30,30,0,30
signed_pseudo1,n500_m1_signed_tries10.txt,3,1,1073,85898,162,168,6,3.7,30,30,0,30
signed_pseudo1,n500_m1_signed_tries10.txt,4,1,897,69332,142,148,6,4.23,30,30,0,30
signed_pseudo1,n500_m1_signed_tries10.txt,5,1,1090,100028,166,178,12,7.23,30,30,0,30
signed_pseudo1,n500_m1_signed_tries10.txt,6,1,1109,88592,171,179,8,4.68,30,30,0,30
signed_pseudo1,n500_m1_signed_tries10.txt,7,1,1053,93631,162,170,8,4.94,30,30,0,30
signed_pseudo1,n500_m1_signed_tries10.txt,8,1,1030,87677,148,157,9,6.08,30,30,0,30
signed_pseudo1,n500_m1_signed_tries10.txt,9,1,912,88844,135,140,5,3.7,30,30,0,30
signed_pseudo1,n500_m1_signed_tries10.txt,10,1,1087,97874,154,158,4,2.6,30,30,0,30
signed_pseudo1,n7000_m1_signed_tries10.txt,1,1,14818,18336742,2228,2288,60,2.69,30,30,0,30
signed_pseudo1,n7000_m1_signed_tries10.txt,2,1,13760,15291398,2175,2242,67,3.08,30,30,0,30
signed_pseudo1,n7000_m1_signed_tries10.txt,3,1,14407,17320710,2181,2258,77,3.53,30,30,0,30
signed_pseudo1,n7000_m1_signed_tries10.txt,4,1,13886,16053506,2154,2241,87,4.04,30,30,0,30
signed_pseudo1,n7000_m1_signed_tries10.txt,5,1,14259,16154995,2194,2257,63,2.87,30,30,0,30
signed_pseudo1,n7000_m1_signed_tries10.txt,6,1,14117,16340914,2152,2223,71,3.3,30,30,0,30
signed_pseudo1,n7000_m1_signed_tries10.txt,7,1,13933,16518012,2157,2220,63,2.92,30,30,0,30
signed_pseudo1,n7000_m1_signed_tries10.txt,8,1,14236,17215727,2180,2256,76,3.49,30,30,0,30
signed_pseudo1,n7000_m1_signed_tries10.txt,9,1,14104,15475324,2170,2251,81,3.73,30,30,0,30
signed_pseudo1,n7000_m1_signed_tries10.txt,10,1,13971,15501279,2141,2215,74,3.46,30,30,0,30
