experiment,dataset,instance,pseudo_l,vertices,edges,greedy,ours,improvement,percent_improvement,enumerated,accepted,rejects,K
signed_pseudo2,n1000_m1_signed_tries10.txt,1,2,2088,324049,558,575,17,3.05,30,30,0,30
signed_pseudo2,n1000_m1_signed_tries10.txt,2,2,2019,346213,516,519,3,0.58,30,30,0,30
signed_pseudo2,n1000_m1_signed_tries10.txt,3,2,1964,289863,515,522,7,1.36,30,30,0,30
signed_pseudo2,n1000_m1_signed_tries10.txt,4,2,1970,315351,526,532,6,1.14,30,30,0,30
signed_pseudo2,n1000_m1_signed_tries10.txt,5,2,1867,311978,489,499,10,2.04,30,30,0,30
signed_pseudo2,n1000_m1_signed_tries10.txt,6,2,2058,347933,533,543,10,1.88,30,30,0,30
signed_pseudo2,n1000_m1_signed_tries10.txt,7,2,2171,333389,602,611,9,1.5,30,30,0,30
signed_pseudo2,n1000_m1_signed_tries10.txt,8,2,2147,391643,541,548,7,1.29,30,30,0,30
signed_pseudo2,n1000_m1_signed_tries10.txt,9,2,2168,357870,594,604,10,1.68,30,30,0,30
signed_pseudo2,n1000_m1_signed_tries10.txt,10,2,1975,326883,492,504,12,2.44,30,30,0,30
signed_pseudo2,n3000_m1_signed_tries10.txt,1,2,5992,3047391,1554,1588,34,2.19,30,30,0,30
signed_pseudo2,n3000_m1_signed_tries10.txt,2,2,6119,2996158,1614,1638,24,1.49,30,30,0,30
signed_pseudo2,n3000_m1_signed_tries10.txt,3,2,6181,3263225,1589,1605,16,1.01,30,30,0,30
signed_pseudo2,n3000_m1_signed_tries10.txt,4,2,5909,2958237,1570,1591,21,1.34,30,30,0,30
signed_pseudo2,n3000_m1_signed_tries10.txt,5,2,6205,2999448,1671,1699,28,1.68,30,30,0,30
signed_pseudo2,n3000_m1_signed_tries10.txt,6,2,6519,3775230,1657,1695,38,2.29,30,30,0,30
signed_pseudo2,n3000_m1_signed_tries10.txt,7,2,5739,2723192,1537,1571,34,2.21,30,30,0,30
signed_pseudo2,n3000_m1_signed_tries10.txt,8,2,6156,3221244,1585,1615,30,1.89,30,30,0,30
signed_pseudo2,n3000_m1_signed_tries10.txt,9,2,6105,3174792,1624,1651,27,1.66,30,30,0,30
signed_pseudo2,n3000_m1_signed_tries10.txt,10,2,5864,3124007,1504,1526,22,1.46,30,30,0,30
