dataset,instance,vertices,edges,greedy,ours,improvement,percent_improvement,enumerated,K
n1000_m1_unsigned_tries10.txt,1,2884,908523,537,552,15,2.79,30,30
n1000_m1_unsigned_tries10.txt,2,3088,1031448,555,571,16,2.88,30,30
n1000_m1_unsigned_tries10.txt,3,2927,995831,519,538,19,3.66,30,30
n1000_m1_unsigned_tries10.txt,4,2784,886897,521,531,10,1.92,30,30
n1000_m1_unsigned_tries10.txt,5,2792,849787,555,573,18,3.24,30,30
n1000_m1_unsigned_tries10.txt,6,2885,930266,495,509,14,2.83,30,30
n1000_m1_unsigned_tries10.txt,7,2960,923132,505,520,15,2.97,30,30
n1000_m1_unsigned_tries10.txt,8,2890,958876,508,521,13,2.56,30,30
n1000_m1_unsigned_tries10.txt,9,2900,931879,529,540,11,2.08,30,30
n1000_m1_unsigned_tries10.txt,10,2903,888258,548,558,10,1.82,30,30
n3000_m1_unsigned_tries10.txt,1,9298,9295395,1644,1677,33,2.01,30,30
n3000_m1_unsigned_tries10.txt,2,9274,9916886,1642,1674,32,1.95,30,30
n3000_m1_unsigned_tries10.txt,3,8798,8668611,1575,1599,24,1.52,30,30
n3000_m1_unsigned_tries10.txt,4,9451,9561934,1624,1659,35,2.16,30,30
n3000_m1_unsigned_tries10.txt,5,9158,9324368,1645,1672,27,1.64,30,30
n3000_m1_unsigned_tries10.txt,6,8556,7867882,1658,1689,31,1.87,30,30
n3000_m1_unsigned_tries10.txt,7,8782,8253767,1633,1662,29,1.78,30,30
n3000_m1_unsigned_tries10.txt,8,9008,8333044,1619,1646,27,1.67,30,30
n3000_m1_unsigned_tries10.txt,9,8928,8558736,1642,1653,11,0.67,30,30
n3000_m1_unsigned_tries10.txt,10,8972,8130370,1701,1736,35,2.06,30,30
n5000_m1_unsigned_tries10.txt,1,14916,23872403,2709,2747,38,1.4,30,30
n5000_m1_unsigned_tries10.txt,2,15321,25128705,2748,2814,66,2.4,30,30
n5000_m1_unsigned_tries10.txt,3,15408,25517469,2773,2823,50,1.8,30,30
n5000_m1_unsigned_tries10.txt,4,14969,23886241,2725,2761,36,1.32,30,30
n5000_m1_unsigned_tries10.txt,5,15135,24043001,2794,2855,61,2.18,30,30
n5000_m1_unsigned_tries10.txt,6,15101,24302881,2739,2775,36,1.31,30,30
n5000_m1_unsigned_tries10.txt,7,15072,24466336,2724,2768,44,1.62,30,30
n5000_m1_unsigned_tries10.txt,8,14594,23309635,2686,2732,46,1.71,30,30
n5000_m1_unsigned_tries10.txt,9,14774,25256063,2589,2628,39,1.51,30,30
n5000_m1_unsigned_tries10.txt,10,14812,23725573,2612,2640,28,1.07,30,30
n500_m1_unsigned_tries10.txt,1,1457,267026,262,268,6,2.29,30,30
n500_m1_unsigned_tries10.txt,2,1296,184640,255,258,3,1.18,30,30
n500_m1_unsigned_tries10.txt,3,1255,199245,241,244,3,1.24,30,30
n500_m1_unsigned_tries10.txt,4,1465,246217,253,259,6,2.37,30,30
n500_m1_unsigned_tries10.txt,5,1307,191500,239,241,2,0.84,30,30
n500_m1_unsigned_tries10.txt,6,1523,270092,273,275,2,0.73,30,30
n500_m1_unsigned_tries10.txt,7,1640,305713,301,303,2,0.66,30,30
n500_m1_unsigned_tries10.txt,8,1613,324642,287,294,7,2.44,30,30
n500_m1_unsigned_tries10.txt,9,1431,195466,267,276,9,3.37,30,30
n500_m1_unsigned_tries10.txt,10,1417,210891,285,294,9,3.16,30,30
n7000_m1_unsigned_tries10.txt,1,20865,48656805,3735,3793,58,1.55,30,30
n7000_m1_unsigned_tries10.txt,2,21048,47569224,3716,3771,55,1.48,30,30
n7000_m1_unsigned_tries10.txt,3,20860,47742352,3824,3907,83,2.17,30,30
n7000_m1_unsigned_tries10.txt,4,20340,46444827,3751,3816,65,1.73,30,30
n7000_m1_unsigned_tries10.txt,5,20893,47432945,3801,3846,45,1.18,30,30
n7000_m1_unsigned_tries10.txt,6,21153,49059704,3709,3767,58,1.56,30,30
n7000_m1_unsigned_tries10.txt,7,20971,48167607,3747,3798,51,1.36,30,30
n7000_m1_unsigned_tries10.txt,8,20981,46747087,3826,3897,71,1.86,30,30
n7000_m1_unsigned_tries10.txt,9,21223,46176429,3841,3909,68,1.77,30,30
n7000_m1_unsigned_tries10.txt,10,21672,51421758,3835,3900,65,1.69,30,30
